First Name,Last Name,Full Name,Position,Formatted DOB,Date of Birth,Birth Place,Nationality,Gender,Email,Address,Phone Number,Phone Number 2,House,Additional Information,RCA (Partner),Source,Official Websites,Unofficial Websites,Thread,Date of Data,3rd Party Check - Record Exists,3rd Party Check - Last Name,3rd Party Check - First Name,3rd Party Check - DOB,3rd Party Check - Place of Birth,3rd Party Check - Nationality,3rd Party Check - Gender
Shawn,Hamilton,Shawn Hamilton,Department of Environmental Protection Secretary,,NA,NA,,M,shawn.hamilton@floridadep.gov,"Shawn Hamilton, Secretary
Florida Department of Environmental Protection
3900 Commonwealth Boulevard
Tallahassee, FL 32399",850-245-2118,,NA,"Based on the provided search results, here is the relevant PEP (politically exposed person) information on Shawn Hamilton, the Secretary of the Florida Department of Environmental Protection:
Identification Information

    Full Name: Shawn Hamilton (also known as Emile D. ""Shawn"" Hamilton)
    Current Position: Secretary of the Florida Department of Environmental Protection
    Appointed: June 4, 2021 (initially as interim secretary, made permanent on August 31, 2021)
    Current Term: June 4, 2021 - January 5, 2027

PEP Status Details

    Prominent Public Position: Secretary of the Florida Department of Environmental Protection, a cabinet-level position overseeing environmental regulation and conservation in Florida
    Appointed by: Governor Ron DeSantis (Republican)
    Confirmation: Confirmed by the Florida Senate on March 11, 2022

Professional Background

    Worked at the Florida Department of Environmental Protection since 2007
    Previously served as Deputy Secretary for Land and Recreation (2020-2021), overseeing state parks, trails, and public lands
    Also held roles like District Director and Public Affairs Manager within the department

Source of Wealth

    Career in public service, specifically with the Florida Department of Environmental Protection since 2007

Hamilton's appointment was initially challenged by the Florida Commissioner of Agriculture, who argued the Governor violated state law by not bringing it before the full Cabinet. However, the Governor maintained Senate confirmation was sufficient. Several environmental groups expressed support for Hamilton's leadership and experience within the department. As the head of Florida's environmental agency, Shawn Hamilton would be considered a politically exposed person due to his prominent public position and oversight of state environmental policies and funds. Financial institutions would need to conduct enhanced due diligence given his PEP status.
==============================
Based on the provided search results, here are the appropriate ways to contact Shawn Hamilton in his official capacity as Secretary of the Florida Department of Environmental Protection:

    Email: shawn.hamilton@floridadep.gov

This email address is directly provided in the letter addressed to Secretary Hamilton from an environmental organization.

    Mailing Address:
    Shawn Hamilton, Secretary
    Florida Department of Environmental Protection
    3900 Commonwealth Boulevard
    Tallahassee, FL 32399 

This is the main mailing address for the Florida DEP headquarters where Secretary Hamilton's office is located.

    Phone: 850-245-2118

This phone number for Stacie Taylor is listed as the contact for Secretary Hamilton's office in the Florida Specifier article. The search results do not provide any personal contact details like a private email, phone number or home address for Secretary Hamilton. The appropriate ways to reach him would be through the official state government channels listed above related to his public office and role as DEP Secretary. His LinkedIn profile and the Ballotpedia biography only cover his professional background and appointment details, without providing any direct contact information. So in summary, to contact Secretary Shawn Hamilton, you can email shawn.hamilton@floridadep.gov, mail to the DEP headquarters address, or call the number 850-245-2118 which is listed for his office's contact.
=====
Based on the provided search results, there is no definitive information stating whether Shawn Hamilton, the Secretary of the Florida Department of Environmental Protection, is a member of the Republican party or not. The key relevant information from the results is: This Ballotpedia page provides details on Hamilton's professional background and appointment as DEP Secretary by Republican Governor Ron DeSantis in 2021. However, it does not explicitly mention Hamilton's own political affiliation or party membership. This press release from the Governor's office announcing Hamilton's appointment also does not state his party affiliation. It focuses on praising his qualifications from environmental groups. , , and are not relevant, as they appear to be about other people named Shawn Hamilton or provide general information about the Republican National Committee. While Hamilton was appointed by a Republican governor, many cabinet secretaries and senior officials can be non-partisan career civil servants rather than partisan political appointees. Unless additional credible sources can confirm Shawn Hamilton's party registration or political affiliations, the given information is insufficient to definitively conclude whether he is a Republican or not. His appointment alone does not necessarily indicate his personal political leanings or party membership.",NA,,"https://www.flgov.com/2021/08/31/governor-ron-desantis-appoints-shawn-hamilton-as-secretary-of-the-department-of-environmental-protection/
https://floridadep.gov/land-and-rec/land-and-rec/media/shawn-hamilton","https://ballotpedia.org/Shawn_Hamilton_%28Florida%29
https://floridaenet.com/keynote/
https://earthjustice.org/wp-content/uploads/2021_09_01_letter_to_dep_re_wotus.pdf",,,not found,not found,not found,not found,not found,not found,not found
Joseph,Ladapo,Joseph Ladapo,Department of Health Surgeon General,,16/12/1978,Nigeria,Nigerian,M,joseph.ladapo@ufl.edu,"Mailing Address:
Dr. Joseph A. Ladapo
State Surgeon General
Florida Department of Health
4052 Bald Cypress Way
Tallahassee, FL 32399",(352) 265-0651,,NA,"Based on the provided search results, here is the relevant PEP (politically exposed person) information for Dr. Joseph A. Ladapo, the current Surgeon General of the Florida Department of Health:
Identification Information

    Full Name: Joseph Abiodun Ladapo
    Date of Birth: December 16, 1978 (age 45)
    Place of Birth: Nigeria (immigrated to U.S. at age 5)
    Current Position: Surgeon General of Florida & Secretary of Florida Department of Health
    Appointed: September 21, 2021 by Governor Ron DeSantis (Republican)

PEP Status Details

    Prominent Public Position: Leads the Florida Department of Health, a cabinet-level agency overseeing public health policies and programs for the state
    Confirmation: Pending confirmation by the Florida Senate
    Previous Positions:
        Associate Professor at UCLA David Geffen School of Medicine
        Faculty at NYU School of Medicine
        Staff Fellow at U.S. Food and Drug Administration

Education & Background

    M.D. from Harvard Medical School
    Ph.D. in Health Policy from Harvard Graduate School of Arts and Sciences
    B.A. in Chemistry from Wake Forest University (was a varsity track athlete)
    Married with 3 children
    Son of a Nigerian microbiologist

Controversial Stances
During the COVID-19 pandemic, Ladapo faced significant criticism for:

    Promoting vaccine hesitancy and opposing vaccine mandates
    Questioning COVID-19 vaccine safety
    Recommending unproven treatments like hydroxychloroquine and ivermectin
    Contradicting mainstream medical consensus on masking and mitigation measures

This led to rebukes from public health agencies like the CDC and FDA for spreading misinformation. As Surgeon General, Ladapo would be considered a politically exposed person due to his prominent public leadership role overseeing Florida's health policies and agency. His controversial pandemic stances have also drawn scrutiny around his appointment process and potential conflicts of interest. Financial institutions would need to conduct thorough due diligence given Ladapo's PEP status and the controversies surrounding his pandemic views and appointment by Governor DeSantis.
======
Based on the information provided in the search results, here are the appropriate ways to contact Dr. Joseph A. Ladapo in his role as Florida's Surgeon General and Secretary of the Florida Department of Health:

    Mailing Address:
    Dr. Joseph A. Ladapo
    State Surgeon General
    Florida Department of Health
    4052 Bald Cypress Way
    Tallahassee, FL 32399

This official mailing address for the Florida Department of Health is provided in results and .

    Phone: (352) 265-0651

This phone number is listed on Dr. Ladapo's faculty profile page at the University of Florida as his business contact number.

    Email: joseph.ladapo@ufl.edu

This appears to be Dr. Ladapo's official University of Florida email address. The search results do not provide any personal contact information like a private phone number or home address for Dr. Ladapo. The appropriate ways to reach him would be through official state government and university channels related to his public position as Florida's Surgeon General. His Twitter account @FLSurgeonGen may also be a way to try to contact his office, though direct contact methods are not specified. So in summary, you can contact Dr. Joseph Ladapo by mailing to the Florida Department of Health address, calling (352) 265-0651, or emailing joseph.ladapo@ufl.edu regarding matters related to his role as State Surgeon General.",,,"https://www.floridahealth.gov/about/ssg/index.html
https://www.flgov.com/2021/09/21/governor-ron-desantis-announces-dr-joseph-a-ladapo-as-florida-surgeon-general/
https://twitter.com/FLSurgeonGen
https://internal.medicine.ufl.edu/profile/ladapo-joseph/
https://www.cdc.gov/media/releases/2023/p0313-letter.html","https://en.wikipedia.org/wiki/Joseph_Ladapo
https://www.tallahassee.com/story/news/politics/2024/02/26/joseph-ladapo-florida-surgeon-general-cdc-vaccines-covid-measles/72658035007/
https://cbs12.com/news/local/dr-joseph-abiodun-ladapo-florida-surgeon-general-gov-ron-desantis-university-uf-health-covid-mask-coronavirus-ucla-nyu",,,not found,not found,not found,not found,not found,not found,not found
Dave,Kerner,Dave Kerner,Department of Highway Safety and Motor Vehicles Executive Director,,24/8/1983,"Palm Beach County, Florida",USA,M,Dave.Kerner@myfloridahouse.gov,"Dave Kerner, Executive Director
Florida Department of Highway Safety and Motor Vehicles
2900 Apalachee Parkway
Tallahassee, FL 32399",(850) 617-2000,,Democrat,"According to the provided search results, the current Executive Director of the Florida Department of Highway Safety and Motor Vehicles is Dave Kerner. Key details about Dave Kerner's appointment:

    Dave Kerner was nominated by Governor Ron DeSantis as Executive Director on January 5, 2023 

He initially served as Interim Executive Director starting January 6, 2023
Kerner's nomination was officially approved by Governor DeSantis and the Florida Cabinet on January 17, 2023, making him the 11th Executive Director of the FLHSMV

Background on Dave Kerner:

    Former Palm Beach County Commissioner and County Mayor 

Previously served two terms in the Florida House of Representatives
Prior law enforcement experience as a police officer and special prosecutor in Palm Beach County
Holds a Bachelor's degree in Political Science and Criminology from the University of Florida
Also has a Juris Doctor degree from the University of Florida College of Law
Native of Palm Beach County from a family of law enforcement and public service
As Executive Director, Kerner now oversees the operations of the nearly 2,000 sworn Florida Highway Patrol troopers and approximately 4,500 FLHSMV employees statewide. His role involves implementing Governor DeSantis's public safety vision for the department . So in summary, the current Executive Director leading the Florida Department of Highway Safety and Motor Vehicles is Dave Kerner, who was officially appointed to the position by Governor DeSantis and the Florida Cabinet in January 2023 after previously serving in local government roles.

=====

Based on the provided search results, here is the relevant PEP (politically exposed person) information for Dave Kerner, the current Executive Director of the Florida Department of Highway Safety and Motor Vehicles:
Identification Information

    Full Name: Dave Kerner
    Current Position: Executive Director, Florida Department of Highway Safety and Motor Vehicles (FLHSMV)
    Appointed: January 17, 2023 by Governor Ron DeSantis (Republican) and the Florida Cabinet 

PEP Status Details

    Prominent Public Position: Leads the FLHSMV, overseeing the Florida Highway Patrol and motor vehicle services statewide
    Appointed by: Governor Ron DeSantis after previously serving on DeSantis' COVID-19 task force 

Prior Government Roles:

    Palm Beach County Commissioner (2016-2023)
    Palm Beach County Mayor (2018-2020) 

Florida House of Representatives (2 terms) Police Officer and Special Prosecutor in Palm Beach County

Background

    Native of Palm Beach County, from family of law enforcement/public service 

Education:

    Bachelor's in Political Science & Criminology from University of Florida
    Juris Doctor from University of Florida College of Law 

Previously endorsed DeSantis' re-election campaign in 2022 as a Democrat
As the Executive Director, Kerner now oversees nearly 2,000 state troopers and 4,500 FLHSMV employees statewide in implementing the Governor's public safety agenda . His appointment was seen as a political move by DeSantis to install an ally atop this cabinet agency . Given Kerner's prominent leadership role and oversight of a major state law enforcement agency, he would be considered a politically exposed person requiring enhanced due diligence from financial institutions related to his position, sources of wealth, and ties to the DeSantis administration that appointed him

======

Based on the provided search results, here are the appropriate ways to contact Dave Kerner in his new role as Executive Director of the Florida Department of Highway Safety and Motor Vehicles:

    Mailing Address:
    Dave Kerner, Executive Director
    Florida Department of Highway Safety and Motor Vehicles
    2900 Apalachee Parkway
    Tallahassee, FL 32399

This is the main headquarters address for the FLHSMV where Kerner's office would be located .

    Email: While his current official state email is not provided, his previous legislative email when he served in the Florida House was Dave.Kerner@myfloridahouse.gov 

    Phone: The main FLHSMV headquarters phone number is (850) 617-2000, where his office staff could be reached.

The search results do not list a direct phone number or email just for Kerner himself in his new Executive Director role. As the head of a state agency, contacting him would likely go through the department's main channels initially. His previous contact information from when he was a civil trial attorney or his LinkedIn profiles would no longer be applicable now that he has taken this new state government position in 2023. So in summary, you can try to reach Executive Director Dave Kerner by mailing to the FLHSMV headquarters address, emailing the department's general mailboxes, or calling the main headquarters phone number to inquire about the appropriate way to contact the Executive Director's office directly.",,,https://www.flgov.com/2023/01/05/governor-ron-desantis-nominates-dave-kerner-as-executive-director-of-florida-department-of-highway-safety-and-motor-vehicles/,"https://public.lobbytools.com/legislators/573
https://en.wikipedia.org/wiki/Dave_Kerner
https://ballotpedia.org/Dave_Kerner",,,not found,not found,not found,not found,not found,not found,not found
Eric,Hall,Eric Hall,Department of Juvenile Justice Secretary,,NA,NA,NA,M,DJJ.Communications@djj.state.fl.us,"Florida Department of Juvenile Justice
2737 Centerview Drive
Tallahassee, FL 32399-3100",(850) 488-1850,(850) 921-4158 (Fax),NA,"Eric Hall, Ed.D. is the current Secretary of the Florida Department of Juvenile Justice, appointed to the position by Governor Ron DeSantis in November 2021 . Key facts about Secretary Eric Hall:

    Has over two decades of experience in executive leadership roles, with expertise in education, youth development, and juvenile justice 

Previously served as the state's first chancellor for innovation in the Florida Department of Education under the DeSantis administration
Holds a Doctorate in Education (Ed.D.)
Focuses on improving academic outcomes for all learners and expanding access to post-secondary opportunities
Recently announced appointments to the Juvenile Justice Delinquency Prevention State Advisory Group
In April 2024, the Florida Department of Juvenile Justice's computer systems were hacked, leading to a shutdown of the main system used to manage juvenile cases statewide. Secretary Hall oversees the department which runs the state's juvenile detention centers and diversion programs . So in summary, Dr. Eric Hall is the current Secretary of the Florida Department of Juvenile Justice, appointed by Governor DeSantis in late 2021 due to his extensive background in education and youth services. He leads the department during an ongoing cybersecurity incident impacting its operations.

Here is the relevant PEP (politically exposed person) information for Eric Hall, the current Secretary of the Florida Department of Juvenile Justice:
Identification Information

    Full Name: Eric Hall, Ed.D.
    Current Position: Secretary, Florida Department of Juvenile Justice
    Appointed: November 2021 by Governor Ron DeSantis (Republican) 

PEP Status Details

    Prominent Public Position: Leads the Florida Department of Juvenile Justice, overseeing the state's juvenile detention centers and diversion programs
    Appointed by: Republican Governor Ron DeSantis
    Previous Positions:
        First Chancellor for Innovation, Florida Department of Education under DeSantis 

Senior Chancellor overseeing K-12 schools, colleges, career education, vocational rehab, blind services, school safety, early learning
Served on Florida Children and Youth Cabinet and Special Olympics Florida boards

Background

    Over 20 years of executive leadership experience in education, youth development, juvenile justice 

Holds a Doctorate in Education (Ed.D.)
Focuses on improving academic outcomes and expanding post-secondary access for youth
As the head of the Florida Department of Juvenile Justice, Eric Hall would be considered a politically exposed person due to his prominent public leadership role overseeing the state's juvenile justice system. His appointment by Governor DeSantis and previous positions in the administration also contribute to his PEP status. Financial institutions would need to conduct enhanced due diligence on Hall's sources of wealth, potential conflicts of interest, and ties to the DeSantis administration that appointed him to this cabinet-level position. The recent cybersecurity incident impacting the department's operations under his leadership is also a relevant consideration.",,,"https://www.djj.state.fl.us/services/florida-scholars-academy/board-of-trustees/secretary-dr.-eric-hall-chair
https://twitter.com/DrEricHall
https://www.fasa.net/secretary-eric-hall
https://www.linkedin.com/in/dr-eric-hall/",https://careersourceflorida.com/team/chancellor-eric-hall/,,,not found,not found,not found,not found,not found,not found,not found
Mark,Glass,Mark Glass,Department of Law Enforcement Commissioner,,NA,NA,,M,FDLE.Commissioner@fdle.state.fl.us,"Florida Department of Law Enforcement
2331 Phillips Road
Tallahassee, FL 32308",(850) 410-7000,,NA,"The current Commissioner of the Florida Department of Law Enforcement (FDLE) is Mark Glass, appointed by Governor Ron DeSantis on May 1, 2022 and confirmed by the Florida Cabinet on August 23, 2022 . Key facts about Commissioner Mark Glass:

    30-year veteran of the U.S. Armed Forces, serving as a pilot in the Army and Coast Guard 

Retired as a master aviator, receiving two meritorious service medals
Joined FDLE in 2015 as director of the Office of Statewide Intelligence
Previously served as director of Florida Capitol Police and director of security for the Florida Lottery
Graduate of the Florida Highway Patrol Academy and FDLE
Holds a Bachelor's degree in criminology from Florida State University and an Associate's degree
As Commissioner, Glass has led FDLE's efforts to combat illegal immigration, safeguard elections, and advance the department's crime-fighting capabilities under Governor DeSantis' leadership . The head of FDLE is the Governor and Florida Cabinet, with the Commissioner appointed by the Governor, approved by the Cabinet, and confirmed by the Florida Senate . FDLE employs around 1,900 members statewide with an annual budget over $300 million
====
Here is the relevant PEP (politically exposed person) information for Mark Glass, the current Commissioner of the Florida Department of Law Enforcement:
Identification Information

    Full Name: Mark Glass
    Current Position: Commissioner, Florida Department of Law Enforcement (FDLE)
    Appointed: May 1, 2022 by Governor Ron DeSantis (Republican)
    Confirmed: August 23, 2022 by the Florida Cabinet and Florida Senate 

PEP Status Details

    Prominent Public Position: Leads the Florida Department of Law Enforcement, overseeing the state's law enforcement efforts
    Appointed by: Republican Governor Ron DeSantis
    Confirmation: Confirmed by the Republican-controlled Florida Cabinet and Senate
    Previous Positions at FDLE:
        Acting Commissioner (May 2022 - August 2022) 

Director of the Office of Statewide Intelligence (2015-2017)
Director of Florida Capitol Police (2017-2022)

Background

    30-year veteran of the U.S. Armed Forces, serving as a pilot in the Army and Coast Guard, retiring as a master aviator 

Graduate of the Florida Highway Patrol Academy and FDLE
Holds a Bachelor's degree in criminology from Florida State University and an Associate's degree
As the head of FDLE, Mark Glass would be considered a politically exposed person due to his prominent leadership role overseeing the state's law enforcement agency. His appointment and confirmation by the Republican administration and legislature also contribute to his PEP status. Financial institutions would need to conduct enhanced due diligence on Glass's sources of wealth, potential conflicts of interest, and ties to the DeSantis administration that appointed him to this cabinet-level position. His military background and prior FDLE roles are also relevant to his PEP profile.

===

To contact Mark Glass, the current Commissioner of the Florida Department of Law Enforcement (FDLE), you can use the following methods:

    Mailing Address:
    Florida Department of Law Enforcement
    2331 Phillips Road
    Tallahassee, FL 32308 

This is the official mailing address for the FDLE headquarters, where Commissioner Glass's office is located.

    Phone:
    (850) 410-7000

This is the main phone number for the FDLE headquarters.

    Email:
    While his specific email address is not provided, you can try contacting him through the general email channels of the FDLE:
    FDLE.Commissioner@fdle.state.fl.us 

    Twitter:
    Commissioner Glass does not appear to have an official Twitter account listed in the search results.

So in summary, the most direct ways to contact Commissioner Mark Glass are by mailing to the FDLE headquarters address, calling the main FDLE phone number, or emailing the Commissioner's office directly at FDLE.Commissioner@fdle.state.fl.us. His office can also be reached through the general FDLE communication channels.",NA,https://www.perplexity.ai/search/PEP-means-politically-B4tNf3WCSnyIGzAr1jCckA,"https://www.flgov.com/2022/08/23/governor-ron-desantis-appoints-mark-glass-as-commissioner-of-the-florida-department-of-law-enforcement/
https://www.fdle.state.fl.us/About-Us/About-the-Commissioner
https://www.fdle.state.fl.us/About-Us
https://www.flhsmv.gov/about/about-the-director/",,,,not found,not found,not found,not found,not found,not found,not found
Pedro,Allende,Pedro Allende,Department of Management Services Secretary,,NA,NA,NA,M,DMS.info@dms.myflorida.com,"Florida Department of Management Services
4050 Esplanade Way
Tallahassee, FL 32399-0950 ",(850) 488-2786,,NA,"The current Secretary of the Florida Department of Management Services is Pedro Allende. Key facts about Secretary Pedro Allende:

    Appointed Secretary of the Florida Department of Management Services

Former Senior Executive at the U.S. Department of Homeland Security, Department of Energy, and Department of Labor, focused on cybersecurity and emerging risk management
Holds a leadership position overseeing the Florida Department of Management Services, which provides support services to state agencies
The search results also mention Tom Berger as the Deputy Secretary of Business Operations at the Florida Department of Management Services. So in summary, Pedro Allende is the current Secretary leading the Florida Department of Management Services, appointed to this position overseeing the department's operations and services to other state agencies. His background includes senior executive roles in the federal government focused on cybersecurity and risk management.

===

Here is the relevant PEP (politically exposed person) information for Pedro Allende, the current Secretary of the Florida Department of Management Services:
Identification Information

    Full Name: Pedro Allende
    Current Position: Secretary, Florida Department of Management Services (DMS)
    Appointed: June 2022 by Governor Ron DeSantis (Republican) 

PEP Status Details

    Prominent Public Position: Leads the Florida Department of Management Services, overseeing the state's management services and support for other agencies
    Appointed by: Republican Governor Ron DeSantis
    Previous Positions:
        Deputy Assistant Secretary for Infrastructure, Risk, and Resilience Policy, U.S. Department of Homeland Security 

Senior Advisor and Director of Strategic Initiatives, U.S. Department of Energy
Counselor to the Secretary and White House Liaison, U.S. Department of Labor
Member of Florida's Cybersecurity Advisory Council since September 2021

Background

    Attorney by training, with bachelor's in economics, master's in decision and information science, and juris doctorate from University of Florida 

Extensive federal government experience in homeland security, energy, and labor departments As the head of the Florida Department of Management Services, Pedro Allende would be considered a politically exposed person due to his prominent public leadership role overseeing the state's management services and support for other agencies. His appointment by Governor DeSantis and background in the federal government also contribute to his PEP status. Financial institutions would need to conduct enhanced due diligence on Allende's sources of wealth, potential conflicts of interest, and ties to the DeSantis administration that appointed him to this cabinet-level position. His cybersecurity experience and role on Florida's Cybersecurity Advisory Council are also relevant considerations.

===

To contact Pedro Allende, the current Secretary of the Florida Department of Management Services, you can use the following methods:

    Mailing Address:
    Florida Department of Management Services
    4050 Esplanade Way
    Tallahassee, FL 32399-0950

This is the official mailing address for the Florida Department of Management Services headquarters, where Secretary Allende's office is located.

    Phone:
    (850) 488-2786

This is the main phone number for the Florida Department of Management Services.

    Email:
    While his specific email address is not provided, you can try contacting him through the general email channels of the Department of Management Services:
    DMS.info@dms.myflorida.com

So in summary, the most direct ways to contact Secretary Pedro Allende are by mailing to the Department of Management Services headquarters address, calling the main DMS phone number, or emailing the general DMS inbox. His office can also be reached through the department's main communication channels.",NA,,"https://www.dms.myflorida.com/
https://www.linkedin.com/in/pedromallende/
https://www.dms.myflorida.com/about_us/dms_leadership
a
https://www.flgov.com/2022/06/28/governor-ron-desantis-appoints-pedro-allende-as-secretary-of-the-florida-department-of-management-services/",,,,not found,not found,not found,not found,not found,not found,not found
John,Haas,John Haas,Department of Military Affairs Adjutant General,,NA,NA,NA,M,NA,"Florida Department of Military Affairs
82 Marine Street
St. Augustine, Florida 32084",(904) 823-0364,l,NA,"The current Adjutant General of the Florida National Guard and head of the Florida Department of Military Affairs is Major General John D. Haas. Key facts about Major General John D. Haas:

    Serves as the senior military advisor to the Governor of Florida

Responsible for the overall management, readiness and mobilization of both U.S. Army and U.S. Air Force elements of the Florida National Guard
Oversees both state and federal missions of the Florida National Guard, which is composed of over 10,000 Army, 1,900 Air Force, and 2,100 full-time support personnel
Appointed as Adjutant General by Governor Jeb Bush in 2001
So in summary, Major General John D. Haas is the current Adjutant General who leads the Florida Department of Military Affairs and the Florida National Guard. He serves as the Governor's top military advisor and is responsible for the readiness and operations of the state's Army and Air National Guard forces.

Here is the relevant PEP (politically exposed person) information for Major General John D. Haas, the current Adjutant General of the Florida National Guard:
Identification Information

    Full Name: John D. Haas
    Current Position: Adjutant General of Florida, Director of the Florida Department of Military Affairs

Appointed: By Governor Jeb Bush in 2001
PEP Status Details

    Prominent Public Position: Leads the Florida National Guard and Department of Military Affairs as the senior military advisor to the Governor

Appointed by: Republican Governor Jeb Bush in 2001
Oversees both state and federal missions of the Florida National Guard, which is composed of over 10,000 Army, 1,900 Air Force, and 2,100 full-time support personnel
Background

    Responsible for the overall management, readiness and mobilization of both U.S. Army and U.S. Air Force elements of the Florida National Guard

Served in a variety of flying and command positions in the Air Force and Air Force Reserve prior to becoming Adjutant General
As the head of the Florida National Guard and Department of Military Affairs, Major General John D. Haas would be considered a politically exposed person due to his prominent public leadership role advising the Governor and overseeing the state's military forces. Financial institutions would need to conduct enhanced due diligence on Haas's sources of wealth, potential conflicts of interest, and ties to the Bush administration that appointed him to this position in 2001. His extensive military background and command experience are also relevant considerations.

==

To contact Major General John D. Haas, the current Adjutant General of Florida and Director of the Florida Department of Military Affairs, you can use the following methods:
Mailing Address
Florida Department of Military Affairs
82 Marine Street
St. Augustine, Florida 32084 This is the headquarters location and mailing address for the Florida Department of Military Affairs, where General Haas' office is based.
Phone
Directory Assistance: (904) 823-0364 This is the main phone number listed for the Florida Department of Military Affairs headquarters.
Email
While a direct email address for General Haas is not provided, you can try contacting him through the general contact channels of the Florida National Guard and Department of Military Affairs. So in summary, the best ways to reach Major General John D. Haas are by mailing to the Department of Military Affairs headquarters address in St. Augustine, calling the main directory assistance phone number, or attempting to contact him through the general email channels of the organization he leads. His specific contact details are not listed, but these are the most direct communication methods based on the information available.",NA,,"https://selectflorida.org/military-defense/florida-defense-support-task/
https://dma.myflorida.com/leadership/the-adjutant-general/
https://fl.ng.mil/Leadership/",https://www.nationalguard.mil/portals/31/Features/ngbgomo/bio/8/89.html,,,not found,not found,not found,not found,not found,not found,not found
Zingale,Jim,Zingale Jim,Department of Revenue Executive Director,,,,,M,,,,,,,,,,,,,not found,not found,not found,not found,not found,not found,not found
Cord,Byrd,Cord Byrd,Secretary of State,,19/4/1971,"Jacksonville, Florida",USA,M,cord.byrd@dos.fl.gov,"Florida Department of State
R.A. Gray Building
500 South Bronough Street
Tallahassee, FL 32399-0250",(850) 245-6500,NA,Republican,"Personal Background:

    Cord Byrd was born on April 19, 1971 in Jacksonville, Florida.

He is a fifth-generation Floridian and native of the Jacksonville Beaches area.
Byrd currently resides in Neptune Beach, Florida with his wife Esther and their two children, Dominic (age 21) and Lexie (age 10).
Education:

    Byrd attended the United States Air Force Academy for one year before earning a Bachelor of Arts degree in political science and government from the University of North Florida.

He later earned a Juris Doctor (J.D.) degree from the St. Thomas University School of Law in 1997. Professional Background:

    Byrd has worked as an attorney in private practice since 2007, after previously working at other law firms.

He was elected to the Florida House of Representatives in 2016, representing Nassau County and part of Duval County. He served in this role until 2022.In the Florida House, Byrd held leadership positions such as Vice Chair of the Public Integrity & Elections Committee and Vice Chair of the House Judiciary Committee.In May 2022, Governor Ron DeSantis appointed Byrd to succeed Laurel Lee as the 37th Secretary of State of Florida. Political Positions:

    As a state representative, Byrd sponsored bills related to election security, banning sanctuary cities, requiring E-Verify, supporting law enforcement, and establishing a Parents' Bill of Rights in Florida.

As Secretary of State, Byrd has focused on ensuring secure elections and protecting the freedom of Florida's citizens from big tech censorship and cybersecurity threats.",Esther,LLM,,,,,Cord BYRD,BYRD,Cord,19/04/1971,"Jacksonville, Florida, USA",USA,M
Jared,Perdue,Jared Perdue,Department of Transportation Secretary,,NA,NA,USA,M,NA,"Florida Department of Transportation
605 Suwannee Street
Tallahassee, FL 32399",(850) 414-4100,,NA,"Based on the provided information, here is the relevant PEP information on Jared W. Perdue, the current Secretary of the Florida Department of Transportation:
PEP Identification

    Full Name: Jared W. Perdue, P.E.
    Position: Secretary of the Florida Department of Transportation
    Appointed by: Governor Ron DeSantis on April 7, 2022

    Employer: Florida Department of Transportation

Source of Wealth and Funds

    Career public servant, entire career with FDOT since entering through the Professional Engineer Training Program

Held various leadership roles within FDOT in operations and development
Risk Assessment

    Senior cabinet-level position overseeing state's transportation agency, appointed by Governor

Responsible for carrying out Governor's ""Moving Florida Forward Infrastructure Initiative""

    No adverse media or allegations of misconduct found in provided information

Ongoing Monitoring

    As a senior political appointee, subject to ongoing monitoring for conflicts, ethics issues during tenure
    May require periodic updates to PEP assessment based on role, actions taken while in office

The key PEP information covers Perdue's identification as a senior political appointee overseeing a major state agency, his career background and sources of income from public service, the importance of his cabinet role working directly for the Governor, and the need for ongoing monitoring during his tenure given the position's influence.

====

Unfortunately, none of the provided search results contain direct personal contact information for Jared W. Perdue, such as a personal email address or phone number. The sources focus on his professional background, appointment as Secretary of the Florida Department of Transportation by Governor DeSantis, and his responsibilities overseeing the state's transportation agency and major infrastructure projects. However, they do not disclose any direct means to reach him personally. The only contact details mentioned are:

    His official FDOT email address from 2014 when he was a project manager: jared.perdue@dot.state.fl.us 

    This is likely outdated now that he is the Secretary.

The general FDOT headquarters phone number in Tallahassee: (850) 414-4100

        This is not a direct line to reach Secretary Perdue.

As a senior government official, it is understandable that his personal contact information would not be publicly listed for privacy and security reasons. The appropriate way to try to reach Secretary Perdue would likely be through official FDOT channels and communications staff, rather than any direct personal contacts provided in these search results.",Brandis Perdue,LLM,"https://x.com/fdot_secretary?lang=en
https://www.fdot.gov/info/moredot/mission.shtm
https://fdotwww.blob.core.windows.net/sitefinity/docs/default-source/humanresources/documents/fdotorganizationchart.pdf
https://www.tampabaychamber.com/staff/speaker/jared-w.-perdue-p.e./?back=staff",https://en.wikipedia.org/wiki/Florida_Department_of_Transportation,,30 May 2024,not found,not found,not found,not found,not found,not found,not found
